년주,감,감귤,건고추,건멸치,고구마,굴,김,대파,딸기,마늘,무,물오징어,바나나,방울토마토,배,배추,복숭아,사과,상추,새우,수박,시금치,쌀,양파,오렌지,오이,전복,참다래,참외,찹쌀,체리,토마토,포도
202433,,,,,,,4199529480.0,,,,,,3563430000.0,,,,13128443300.0,5942031762.0,,2600709616.0,6714812668.0,,6205505838.0,,,,2765844050.0,3617366681.0,,,,,9880095118.0
202434,,,,,,,6700727030.0,,,,,2863042987.0,3282155500.0,,2216574114.0,,9608135178.0,11815795587.0,,,3251917218.0,,5466035266.0,,,,,3441526521.0,,,,,8310455182.0
202435,,2181477317.0,,,,,4900600133.0,,,,,,3567007287.0,2150977159.0,1816224729.0,,7730375929.0,9661167547.0,,,,,8156940351.0,,,,,4074603362.0,,,,,9607144775.0
202436,,2248080686.0,,,,,5266575543.0,,,,,,3288966266.0,,5049675200.0,2038899549.0,3738235628.0,15984843984.0,,,,,9300527267.0,,,,,2866542598.0,,,,,7981812666.0
202437,,3910008042.0,,,,,6673327272.0,,,3384964609.0,,,3382105427.0,,9862933611.0,,,16838552578.0,,3456959531.0,,,13835223047.0,,,,,3231884208.0,,,,,14448079455.0
202438,,2675138452.0,,,,,3330928740.0,,,,,,2802335185.0,1777826415.0,2732115198.0,,2475008835.0,6000939995.0,,,,,7073763980.0,,,,,1893520539.0,,,,,8266913000.0
202439,,2865179534.0,,,,,3134100059.0,,,,,,3295337306.0,2255643606.0,,,1859253967.0,6456559801.0,,,,,7462369380.0,1490093704.0,,,,2096323052.0,,,,,6529399005.0
202440,1970542664.0,3829960645.0,,,,,3073589254.0,,,,,,4150084016.0,1779069362.0,,,,6458913580.0,,2063917971.0,,,8242141543.0,,,,,2119826856.0,,,,,7572545530.0
202441,2518865395.0,3714265855.0,,,,,2518629839.0,,,,,,3260836487.0,1568831786.0,,,,5207371349.0,,1823455911.0,,,7116484281.0,,,,,1759585889.0,,,,,5888047543.0
202442,3457277023.0,4494617871.0,,,,,3379461529.0,,,,,,3226033245.0,1603059418.0,,,,5315919706.0,,1670094902.0,,,7379483073.0,,,1571284061.0,,,,,,,6504220915.0
202443,3450997126.0,4482061903.0,,,,,3063273223.0,,,,,,2896831220.0,,,1881997021.0,,4930797980.0,,,,,6534503477.0,,,,,1493365188.0,,,,1620147688.0,4195838248.0
202444,4485402194.0,6182094857.0,,,,,4139775903.0,,,1685123100.0,,,3198757445.0,2313886094.0,,,,6362240674.0,,1746660908.0,,,7738644620.0,,,,,,,,,,3449048296.0
202445,4016032623.0,4474235544.0,,,,2024161577.0,3886023209.0,,,1972326602.0,,,2722158795.0,,,,,5795140502.0,,2017403607.0,,,5869713842.0,,,,,,,,,,5844141370.0
202446,3144803850.0,4176031367.0,,,,2261168724.0,3714405015.0,,,3279023732.0,,,3105563769.0,,,3294617410.0,,5710950585.0,,,,,5826510396.0,,,,,,,,,,4587817162.0
202447,2894590211.0,4901707758.0,,,,2788591083.0,3222341021.0,,2403812556.0,3467453813.0,,,2703070094.0,,,5001586764.0,,4815689574.0,,,,,5312754878.0,,,,,,,,,,
202448,,6355333984.0,,,,2713919185.0,3640290806.0,,7463404480.0,2793398271.0,,,2764424988.0,,,5531657668.0,,4940866070.0,,,,,5943471412.0,,,,,,,,,,3957042241.0
202449,,6105170753.0,,,,2197934784.0,3251270842.0,,13551186329.0,,2105505219.0,,2370252225.0,,,3587202933.0,,4395578383.0,,,,,5975070656.0,,,,,,,,,,2700668759.0
202450,,7747695601.0,,,,1969064377.0,3505195302.0,,16672992411.0,,,,2628622545.0,1764101522.0,,1796579933.0,,5164117703.0,,,,,5969661171.0,,,,,,,,,,2101543731.0
202451,,8556943945.0,,,,1761693326.0,3370182462.0,,16769308274.0,,,,2287415650.0,,,,,4875800836.0,,1486657664.0,,,5333719547.0,1526679224.0,,,,,,,,,1792992872.0
202452,,10207798714.0,,,,2096184630.0,4528021181.0,,22757950112.0,,,,2701273082.0,,,,,5791790806.0,,1957807576.0,,,5787725930.0,1834537315.0,,,,,,,,,2946376846.0
